user_id,product_id,rating,timestamp
U001,P022,4.5,2024-04-21
U001,P025,4.5,2024-12-24
U001,P018,4.0,2024-07-07
U001,P027,4.0,2024-11-06
U001,P017,4.5,2024-02-28
U001,P006,4.0,2024-06-08
U001,P121,3.5,2024-10-23
U001,P002,3.5,2024-06-08
U001,P125,4.5,2024-12-12
U001,P004,4.5,2024-07-22
U001,P023,5.0,2024-04-11
U001,P015,3.5,2024-10-30
U001,P005,5.0,2024-11-17
U001,P003,4.0,2024-02-22
U001,P133,5.0,2024-06-03
U001,P016,5.0,2024-11-03
U001,P013,3.5,2024-10-16
U001,P033,1.0,2024-06-26
U001,P110,5.0,2024-08-07
U001,P050,3.5,2024-02-05
U001,P061,5.0,2024-11-27
U001,P047,3.5,2024-01-07
U001,P091,4.0,2024-09-07
U001,P116,1.5,2024-08-09
U001,P045,3.5,2024-11-21
U002,P030,4.0,2024-10-11
U002,P098,3.5,2024-09-21
U002,P032,4.0,2024-02-13
U002,P124,4.0,2024-07-27
U002,P038,4.5,2024-10-11
U002,P125,4.0,2024-12-19
U002,P121,4.5,2024-11-26
U002,P100,5.0,2024-09-08
U002,P145,4.5,2024-01-09
U002,P129,3.5,2024-05-30
U002,P091,4.0,2024-07-26
U002,P036,5.0,2024-05-04
U002,P097,4.0,2024-12-05
U002,P126,4.5,2024-07-07
U002,P023,4.5,2024-10-10
U002,P029,4.5,2024-06-25
U002,P035,4.5,2024-10-08
U002,P028,4.0,2024-06-29
U002,P095,5.0,2024-08-20
U002,P127,4.0,2024-06-05
U002,P039,4.0,2024-04-28
U002,P040,3.5,2024-04-08
U002,P033,4.0,2024-03-02
U002,P031,5.0,2024-10-01
U002,P021,5.0,2024-04-04
U002,P084,2.5,2024-04-20
U002,P062,4.5,2024-05-21
U002,P044,5.0,2024-11-01
U002,P083,3.0,2024-02-21
U002,P048,2.5,2024-05-31
U002,P066,2.5,2024-07-03
U002,P144,2.0,2024-06-03
U002,P054,1.0,2024-12-28
U002,P064,5.0,2024-03-05
U002,P056,3.0,2024-01-24
U002,P107,1.0,2024-10-10
U002,P120,3.0,2024-12-23
U003,P102,4.5,2024-11-12
U003,P007,4.0,2024-09-24
U003,P001,4.5,2024-08-18
U003,P107,4.5,2024-06-01
U003,P029,4.5,2024-08-07
U003,P101,4.0,2024-10-18
U003,P110,4.5,2024-01-31
U003,P099,4.5,2024-02-20
U003,P092,4.0,2024-11-16
U003,P022,4.0,2024-05-15
U003,P004,5.0,2024-02-11
U003,P027,4.0,2024-05-02
U003,P109,4.0,2024-10-09
U003,P008,3.5,2024-03-21
U003,P097,3.5,2024-07-28
U003,P003,4.5,2024-12-18
U003,P023,4.5,2024-08-28
U003,P026,4.0,2024-01-17
U003,P100,4.0,2024-05-27
U003,P132,5.0,2024-05-24
U003,P091,5.0,2024-08-20
U003,P133,3.5,2024-12-17
U003,P002,4.0,2024-05-15
U003,P005,5.0,2024-10-28
U003,P040,2.5,2024-08-05
U003,P149,1.5,2024-10-05
U003,P113,2.5,2024-11-27
U003,P059,2.0,2024-05-16
U003,P031,2.0,2024-02-06
U003,P052,1.0,2024-03-25
U003,P036,3.0,2024-10-31
U003,P112,3.0,2024-08-12
U003,P143,1.5,2024-08-27
U003,P074,3.0,2024-12-24
U003,P118,4.0,2024-05-19
U004,P112,4.0,2024-12-09
U004,P069,3.5,2024-03-23
U004,P016,4.0,2024-07-29
U004,P119,5.0,2024-09-10
U004,P013,4.0,2024-12-05
U004,P068,4.5,2024-10-08
U004,P061,3.5,2024-08-20
U004,P141,3.5,2024-06-10
U004,P057,4.0,2024-06-14
U004,P012,3.5,2024-07-25
U004,P142,4.5,2024-01-01
U004,P055,5.0,2024-10-04
U004,P117,4.5,2024-07-30
U004,P120,3.5,2024-04-06
U004,P058,4.5,2024-07-04
U004,P140,4.5,2024-09-12
U004,P052,5.0,2024-08-14
U004,P111,3.5,2024-04-14
U004,P131,4.0,2024-10-08
U004,P138,4.0,2024-05-27
U004,P118,4.5,2024-12-23
U004,P019,4.5,2024-03-03
U004,P034,1.0,2024-11-18
U004,P105,2.5,2024-12-29
U004,P086,2.0,2024-06-08
U004,P122,5.0,2024-01-08
U004,P093,5.0,2024-07-27
U004,P022,1.5,2024-04-25
U004,P091,1.5,2024-08-24
U004,P075,1.5,2024-11-27
U004,P083,2.0,2024-09-12
U004,P073,3.0,2024-09-17
U005,P067,4.5,2024-10-23
U005,P111,5.0,2024-09-07
U005,P143,4.0,2024-08-16
U005,P056,4.5,2024-09-04
U005,P070,4.0,2024-06-19
U005,P116,4.5,2024-10-05
U005,P020,4.5,2024-08-21
U005,P065,4.0,2024-04-06
U005,P053,5.0,2024-05-02
U005,P119,4.5,2024-07-15
U005,P113,4.0,2024-07-29
U005,P019,3.5,2024-06-11
U005,P015,5.0,2024-08-30
U005,P058,5.0,2024-07-14
U005,P144,4.5,2024-12-05
U005,P062,5.0,2024-03-18
U005,P150,4.5,2024-01-19
U005,P095,2.0,2024-09-14
U005,P045,3.5,2024-02-21
U005,P001,4.5,2024-02-21
U005,P047,5.0,2024-08-21
U005,P134,1.0,2024-03-14
U005,P049,4.0,2024-12-01
U006,P121,5.0,2024-05-27
U006,P037,4.0,2024-02-16
U006,P092,4.5,2024-02-20
U006,P130,5.0,2024-12-26
U006,P096,3.5,2024-08-15
U006,P026,4.0,2024-12-21
U006,P136,4.0,2024-01-15
U006,P125,3.5,2024-06-15
U006,P095,3.5,2024-05-30
U006,P091,4.0,2024-07-10
U006,P122,4.5,2024-03-15
U006,P090,2.5,2024-09-28
U006,P005,4.0,2024-10-16
U006,P110,2.0,2024-03-28
U006,P009,2.0,2024-02-10
U006,P051,4.0,2024-11-13
U006,P111,2.5,2024-09-11
U007,P035,4.0,2024-08-21
U007,P050,4.0,2024-04-11
U007,P136,4.5,2024-09-04
U007,P037,3.5,2024-05-01
U007,P147,4.5,2024-10-19
U007,P145,4.0,2024-10-21
U007,P021,4.0,2024-12-24
U007,P146,4.0,2024-01-12
U007,P039,5.0,2024-07-21
U007,P075,4.0,2024-01-05
U007,P031,4.5,2024-12-17
U007,P025,5.0,2024-01-26
U007,P049,4.5,2024-09-11
U007,P085,3.0,2024-04-27
U007,P116,3.5,2024-04-22
U007,P069,2.5,2024-11-13
U007,P122,3.0,2024-12-13
U007,P095,2.0,2024-11-17
U007,P129,1.5,2024-11-17
U008,P040,4.5,2024-09-13
U008,P049,4.0,2024-03-25
U008,P023,4.0,2024-09-03
U008,P078,4.0,2024-06-22
U008,P044,3.5,2024-08-27
U008,P029,3.5,2024-03-13
U008,P026,4.0,2024-12-12
U008,P039,5.0,2024-12-11
U008,P041,4.5,2024-10-12
U008,P047,4.0,2024-02-16
U008,P032,4.5,2024-01-08
U008,P056,3.0,2024-10-01
U008,P017,1.5,2024-08-20
U008,P142,3.5,2024-12-10
U008,P110,3.0,2024-10-26
U008,P087,4.0,2024-11-22
U009,P139,4.0,2024-09-09
U009,P055,3.5,2024-02-19
U009,P111,4.0,2024-10-02
U009,P012,4.0,2024-07-17
U009,P120,4.5,2024-07-08
U009,P116,5.0,2024-12-22
U009,P061,4.5,2024-08-02
U009,P140,4.5,2024-03-20
U009,P143,4.5,2024-12-01
U009,P015,3.5,2024-09-07
U009,P070,4.5,2024-07-27
U009,P060,4.0,2024-01-17
U009,P124,3.5,2024-04-21
U009,P083,4.5,2024-08-15
U009,P025,2.5,2024-07-04
U009,P028,1.5,2024-12-17
U009,P006,3.5,2024-10-05
U009,P005,3.5,2024-02-01
U010,P053,4.0,2024-11-01
U010,P018,3.5,2024-05-21
U010,P070,4.0,2024-03-07
U010,P016,4.5,2024-05-08
U010,P138,4.0,2024-02-26
U010,P054,5.0,2024-01-14
U010,P137,4.0,2024-01-08
U010,P131,4.0,2024-05-01
U010,P119,4.5,2024-06-14
U010,P012,3.5,2024-03-30
U010,P014,4.0,2024-01-27
U010,P062,4.0,2024-08-03
U010,P056,4.5,2024-02-28
U010,P019,5.0,2024-02-02
U010,P139,4.5,2024-08-17
U010,P015,4.0,2024-09-19
U010,P147,1.5,2024-08-19
U010,P101,5.0,2024-04-23
U010,P037,1.0,2024-12-03
U010,P106,5.0,2024-06-03
U010,P038,4.5,2024-11-25
U010,P040,1.0,2024-02-01
U010,P073,4.5,2024-07-24
U011,P007,3.5,2024-06-09
U011,P102,4.5,2024-06-09
U011,P099,5.0,2024-05-10
U011,P005,4.0,2024-03-19
U011,P006,5.0,2024-08-30
U011,P091,3.5,2024-02-16
U011,P109,3.5,2024-02-17
U011,P010,4.5,2024-02-19
U011,P133,5.0,2024-07-09
U011,P009,4.0,2024-10-11
U011,P028,3.5,2024-10-27
U011,P110,4.5,2024-10-14
U011,P095,4.0,2024-12-09
U011,P029,3.5,2024-07-29
U011,P025,4.0,2024-12-06
U011,P027,4.5,2024-01-27
U011,P030,4.0,2024-11-03
U011,P024,4.0,2024-06-29
U011,P004,3.5,2024-10-22
U011,P096,4.5,2024-04-18
U011,P093,4.0,2024-12-02
U011,P097,4.5,2024-04-24
U011,P104,3.5,2024-06-28
U011,P103,4.5,2024-07-07
U011,P105,3.5,2024-05-22
U011,P138,2.5,2024-08-07
U011,P048,5.0,2024-11-14
U011,P076,5.0,2024-01-14
U011,P078,3.0,2024-01-15
U011,P050,2.0,2024-05-19
