user_id,product_id,rating
U001,P098,3.6
U001,P275,2.1
U001,P200,3.9
U001,P043,1.7
U001,P034,3.8
U001,P056,1.8
U001,P197,3.9
U001,P136,4.5
U001,P449,2.4
U001,P084,2.4
U001,P032,3.8
U001,P414,3.9
U001,P140,3.8
U001,P183,4.5
U001,P126,4.4
U001,P378,3.8
U001,P314,4.6
U001,P232,1.9
U001,P364,4.1
U001,P033,5.0
U001,P209,4.5
U001,P456,2.9
U001,P179,3.2
U001,P192,4.8
U001,P027,4.7
U001,P491,3.8
U001,P182,3.5
U001,P094,4.0
U001,P409,3.9
U001,P390,2.0
U001,P461,4.9
U001,P463,3.7
U001,P040,4.0
U001,P363,4.5
U001,P208,4.1
U001,P022,4.9
U001,P267,2.6
U001,P194,3.9
U001,P029,3.9
U001,P097,4.3
U001,P399,2.2
U001,P353,4.4
U001,P061,3.7
U001,P028,4.1
U001,P181,3.8
U001,P093,5.0
U001,P435,2.8
U001,P195,3.6
U001,P186,3.6
U001,P476,3.7
U001,P188,4.4
U001,P332,3.5
U001,P193,4.1
U002,P388,3.7
U002,P443,4.0
U002,P011,5.0
U002,P251,4.7
U002,P151,2.1
U002,P069,3.9
U002,P440,4.4
U002,P231,1.7
U002,P258,4.6
U002,P469,4.7
U002,P063,5.0
U002,P434,2.8
U002,P252,3.7
U002,P013,4.5
U002,P362,3.9
U002,P378,1.9
U002,P123,2.8
U002,P180,4.4
U002,P114,4.9
U002,P425,4.9
U002,P054,4.6
U002,P347,4.5
U002,P282,3.3
U002,P391,2.5
U002,P246,4.5
U002,P384,4.1
U002,P010,3.7
U002,P001,2.6
U002,P342,3.9
U002,P119,3.6
U002,P239,3.5
U002,P389,4.3
U002,P396,4.4
U002,P109,1.5
U002,P070,4.6
U002,P353,1.6
U002,P429,1.7
U002,P464,3.5
U002,P423,4.0
U002,P446,4.3
U002,P131,3.9
U002,P490,4.2
U003,P095,4.1
U003,P404,4.9
U003,P098,5.0
U003,P311,4.3
U003,P200,4.6
U003,P036,3.7
U003,P034,3.9
U003,P197,5.0
U003,P115,2.9
U003,P492,4.3
U003,P068,3.4
U003,P500,3.6
U003,P126,4.4
U003,P315,4.3
U003,P367,4.8
U003,P290,1.9
U003,P329,3.9
U003,P122,3.6
U003,P030,3.8
U003,P364,4.4
U003,P420,4.5
U003,P033,3.9
U003,P179,1.8
U003,P008,3.7
U003,P192,3.9
U003,P027,4.4
U003,P153,3.0
U003,P201,4.1
U003,P002,3.0
U003,P359,4.3
U003,P094,4.9
U003,P228,2.0
U003,P361,4.6
U003,P365,3.9
U003,P206,4.1
U003,P461,4.5
U003,P308,3.9
U003,P462,4.0
U003,P208,4.6
U003,P345,1.7
U003,P038,4.2
U003,P194,5.0
U003,P360,5.0
U003,P287,1.7
U003,P165,2.0
U003,P281,2.2
U003,P392,3.8
U003,P116,3.7
U003,P366,4.8
U003,P187,4.1
U003,P276,1.9
U003,P406,4.8
U003,P499,4.6
U003,P195,4.4
U003,P186,5.0
U003,P096,4.5
U003,P476,3.5
U003,P343,3.5
U003,P051,2.2
U004,P417,1.6
U004,P168,4.0
U004,P098,3.8
U004,P074,5.0
U004,P468,3.6
U004,P251,4.0
U004,P151,4.5
U004,P469,4.5
U004,P039,2.4
U004,P393,4.3
U004,P080,4.8
U004,P414,3.9
U004,P068,4.6
U004,P272,4.9
U004,P025,2.1
U004,P166,3.7
U004,P064,4.7
U004,P170,3.8
U004,P169,4.1
U004,P152,3.8
U004,P012,4.9
U004,P001,4.7
U004,P273,4.1
U004,P171,4.5
U004,P249,4.6
U004,P117,2.1
U004,P304,1.9
U004,P335,3.3
U004,P389,4.1
U004,P163,3.6
U004,P014,4.2
U004,P106,2.0
U004,P059,3.8
U004,P133,4.0
U004,P116,3.6
U004,P070,4.8
U004,P435,2.1
U004,P277,4.5
U005,P275,4.0
U005,P268,4.8
U005,P388,3.3
U005,P127,4.0
U005,P235,4.0
U005,P349,2.5
